06/01/2017 15:16:08 ----------- Inicio processamento: 06/01/2017 15:16:08
06/01/2017 15:51:48 ; ERRO ; 404 ; 62 ; GET ; http://brux0338:9200/esb/services/ListarOpcoesParcelamentoAcordoPagamentov1?wsdl
06/01/2017 15:53:26 ; ERRO ; 500 ; 198077 ; GET ; http://brux0338:9200/esb/services/ConsultarSolicitacaoGeracaoDocumentosDigitaisv1?wsdl
06/01/2017 15:53:26 ; ERRO ; 500 ; 200795 ; GET ; http://brux0338:9200/esb/services/AutenticarUsuarioExternov2?wsdl
06/01/2017 15:54:44 ; ERRO ; 500 ; 286103 ; GET ; http://brux0338:9200/esb/services/CancelarParcelamentoCobrancav1?wsdl
06/01/2017 15:54:44 ; ERRO ; 500 ; 78074 ; GET ; http://brux0338:9200/esb/services/AutenticarUsuariov1?wsdl
06/01/2017 15:54:51 ; SUCC ; 200 ; 6754 ; GET ; http://brux0338:9200/esb/services/ListarTemplatesDocumentoDigitalv1?wsdl
06/01/2017 15:54:53 ; SUCC ; 200 ; 291164 ; GET ; http://brux0338:9200/esb/services/ListarPosicaoGeograficav1?wsdl
06/01/2017 15:55:02 ; SUCC ; 200 ; 11258 ; GET ; http://brux0338:9200/esb/services/ConsultarAgenteVendav1?wsdl
06/01/2017 15:55:07 ; SUCC ; 200 ; 330260 ; GET ; http://brux0338:9200/esb/services/ListarDigitalizacoesDocumentosVendav1?wsdl
06/01/2017 15:55:07 ; SUCC ; 200 ; 309430 ; GET ; http://brux0338:9200/esb/services/ReenviarCorreioVozv1?wsdl
06/01/2017 15:57:08 ; ERRO ; 500 ; 319233 ; GET ; http://brux0338:9200/esb/services/ConsultarCadastroUsuarioExternov2?wsdl
06/01/2017 15:57:08 ; ERRO ; 500 ; 221697 ; GET ; http://brux0338:9200/esb/services/VerificarOfertasCompativeisv1?wsdl
06/01/2017 15:57:08 ; ERRO ; 500 ; 126395 ; GET ; http://brux0338:9200/esb/services/ListarContratosDigitalizadosClientev1?wsdl
06/01/2017 15:57:08 ; ERRO ; 404 ; 50 ; GET ; http://brux0338:9200/esb/services/SolicitarAutoCadastrov1?wsdl
06/01/2017 15:57:11 ; ERRO ; 404 ; 2566 ; GET ; http://brux0338:9200/esb/services/SegurancaOTPv1?wsdl
